FLIGHT_CARRIER_CODE;FLIGHT_NUMBER;AIRCRAFT_TYPE
AF ;1315;E90
AF ;1316;E70
AF ;1317;E70
AF ;1318;E90
AF ;1319;E90
AF ;1322;320
AF ;1323;320
AF ;1326;223
AF ;1327;223
AF ;1328;223
AF ;1329;223
AF ;1330;320
AF ;1331;320
AF ;1332;320
AF ;1333;320
AF ;1338;E90
AF ;1339;E90
AF ;1340;223
AF ;1341;223
AF ;1342;223
AF ;1343;223
AF ;1344;319
AF ;1345;319
AF ;1346;223
AF ;1347;223
AF ;1348;321
AF ;1349;321
AF ;1350;223
AF ;1351;223
AF ;1352;E90
AF ;1353;E90
AF ;1354;320
AF ;1355;320
AF ;1356;E90
AF ;1357;E90
AF ;1358;320
AF ;1359;320
AF ;1362;E90
AF ;1363;E90
AF ;1364;E90
AF ;1365;E90
AF ;1366;319
AF ;1367;319
AF ;1372;320
AF ;1373;320
AF ;1374;321
AF ;1375;32A
AF ;1376;E90
AF ;1377;E90
AF ;1378;320
AF ;1379;320
AF ;1380;223
AF ;1381;223
AF ;1382;223
AF ;1383;223
AF ;1384;320
AF ;1385;320
AF ;1386;E70
AF ;1387;E70
AF ;1390;223
AF ;1391;223
AF ;1392;E90
AF ;1393;E90
AF ;1394;321
AF ;1395;321
AF ;1398;319
AF ;1399;319
AF ;1400;321
AF ;1401;321
AF ;1402;E70
AF ;1403;E70
AF ;1404;320
AF ;1405;320
AF ;1406;E90
AF ;1407;E90
AF ;1408;E90
AF ;1409;E90
AF ;1410;223
AF ;1411;223
AF ;1414;223
AF ;1415;223
AF ;1416;E90
AF ;1417;E90
AF ;1420;32A
AF ;1421;32A
AF ;1422;223
AF ;1423;223
AF ;1424;E90
AF ;1425;E90
AF ;1426;223
AF ;1427;223
AF ;1428;223
AF ;1429;223
AF ;1430;320
AF ;1431;320
AF ;1432;320
AF ;1433;320
AF ;1434;320
AF ;1435;320
AF ;1436;223
AF ;1437;223
AF ;1438;E70
AF ;1439;E70
AF ;1440;223
AF ;1441;223
AF ;1442;223
AF ;1443;223
AF ;1444;321
AF ;1445;321
AF ;1446;319
AF ;1447;319
AF ;1448;321
AF ;1449;321
AF ;1450;E90
AF ;1451;E90
AF ;1452;E90
AF ;1453;E90
AF ;1454;320
AF ;1455;320
AF ;1456;E90
AF ;1457;E90
AF ;1458;320
AF ;1459;320
AF ;1462;320
AF ;1463;320
AF ;1470;E90
AF ;1471;E90
AF ;1476;E90
AF ;1477;E90
AF ;1478;E90
AF ;1479;E90
AF ;1480;E90
AF ;1481;E90
AF ;1482;E90
AF ;1483;E90
AF ;1485;E90
AF ;1486;E90
AF ;1487;E90
AF ;1488;E90
AF ;1489;E90
AF ;1490;320
AF ;1491;320
AF ;1492;E90
AF ;1493;E90
AF ;1494;320
AF ;1495;320
AF ;1496;320
AF ;1497;320
AF ;1498;E70
AF ;1499;E90
AF ;1500;318
AF ;1501;318
AF ;1502;E90
AF ;1503;E90
AF ;1504;320
AF ;1505;320
AF ;1506;E90
AF ;1507;E90
AF ;1510;223
AF ;1511;223
AF ;1513;E70
AF ;1514;E90
AF ;1515;E90
AF ;1518;E90
AF ;1519;E90
AF ;1524;321
AF ;1525;321
AF ;1526;223
AF ;1527;223
AF ;1528;223
AF ;1529;223
AF ;1530;320
AF ;1531;320
AF ;1532;321
AF ;1533;321
AF ;1534;223
AF ;1535;223
AF ;1538;E70
AF ;1539;E70
AF ;1540;E70
AF ;1541;E90
AF ;1542;223
AF ;1543;223
AF ;1544;E70
AF ;1545;E70
AF ;1546;E90
AF ;1547;E90
AF ;1548;321
AF ;1549;321
AF ;1550;E70
AF ;1551;E70
AF ;1552;E90
AF ;1553;E90
AF ;1554;320
